NAME,SUBSCRIPTION,RESOURCE GROUP,LOCATION,STATUS,OPERATING SYSTEM,SIZE,PUBLIC IP ADDRESS,DISKS,UPDATE STATUS
"lxadocimo1.azure.forem.be","CspAcc01","rgadocimo","West Europe","Running","Linux","Standard_B2s"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/9c9cb071-ac7c-45be-8105-4f4eb5f8e672/resourcegroups/rgadocimo/providers/microsoft.compute/virtualmachines/lxadocimo1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxafadmariadb1","DsiAcc01","rgamoodlefad","West Europe","Running","Linux","Standard_D2s_v3"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/cbf821af-139f-472b-bd9f-bd9e7c82395c/resourcegroups/rgamoodlefad/providers/microsoft.compute/virtualmachines/lxafadmariadb1""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxahrapr1","CspAcc01","RGAHR4FPR","West Europe","Running","Linux","Standard_D4ds_v5"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/9c9cb071-ac7c-45be-8105-4f4eb5f8e672/resourcegroups/rgahr4fpr/providers/microsoft.compute/virtualmachines/lxahrapr1""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxajira1.azure.forem.be","CspAcc01","RGAATLASSIAN","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/9c9cb071-ac7c-45be-8105-4f4eb5f8e672/resourcegroups/rgaatlassian/providers/microsoft.compute/virtualmachines/lxajira1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxajira2.azure.forem.be","CspAcc01","rgaatlassian","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/9c9cb071-ac7c-45be-8105-4f4eb5f8e672/resourcegroups/rgaatlassian/providers/microsoft.compute/virtualmachines/lxajira2.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxajirar2.azure.forem.be","CspAcc01","rgaatlassian","West Europe","Stopped (deallocated)","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/9c9cb071-ac7c-45be-8105-4f4eb5f8e672/resourcegroups/rgaatlassian/providers/microsoft.compute/virtualmachines/lxajirar2.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxaldap1.azure.forem.be","DsiAcc01","rgaldap","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/cbf821af-139f-472b-bd9f-bd9e7c82395c/resourcegroups/rgaldap/providers/microsoft.compute/virtualmachines/lxaldap1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxaldap2.azure.forem.be","DsiAcc01","rgaldap","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/cbf821af-139f-472b-bd9f-bd9e7c82395c/resourcegroups/rgaldap/providers/microsoft.compute/virtualmachines/lxaldap2.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxalrs1","DsiAcc01","FAD-RG","West Europe","Stopped (deallocated)","Linux","Standard_B2ms"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/cbf821af-139f-472b-bd9f-bd9e7c82395c/resourcegroups/fad-rg/providers/microsoft.compute/virtualmachines/lxalrs1""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxamonpx1","DsiTier0","MONITORING-RG","West Europe","Running","Linux","Standard_B2ms"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/c704e378-20de-426d-af3d-6ef10c3545f0/resourcegroups/monitoring-rg/providers/microsoft.compute/virtualmachines/lxamonpx1""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxamoodlefad1.azure.forem.be","DsiAcc01","rgamoodlefad","West Europe","Running","Linux","Standard_D4s_v5"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/cbf821af-139f-472b-bd9f-bd9e7c82395c/resourcegroups/rgamoodlefad/providers/microsoft.compute/virtualmachines/lxamoodlefad1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxamoodlehd1.azure.forem.be","DsiAcc01","rgamoodlehd","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/cbf821af-139f-472b-bd9f-bd9e7c82395c/resourcegroups/rgamoodlehd/providers/microsoft.compute/virtualmachines/lxamoodlehd1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxamoodlehd2.azure.forem.be","DsiAcc01","rgamoodlehd","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/cbf821af-139f-472b-bd9f-bd9e7c82395c/resourcegroups/rgamoodlehd/providers/microsoft.compute/virtualmachines/lxamoodlehd2.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxasmzmariadb1.azure.forem.be","DsiAcc01","RGAMARIADB","West Europe","Running","Linux","Standard_D2s_v5"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/cbf821af-139f-472b-bd9f-bd9e7c82395c/resourcegroups/rgamariadb/providers/microsoft.compute/virtualmachines/lxasmzmariadb1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxasmzrecovery1.azure.forem.be","DsiAcc01","rgamariadb","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/cbf821af-139f-472b-bd9f-bd9e7c82395c/resourcegroups/rgamariadb/providers/microsoft.compute/virtualmachines/lxasmzrecovery1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxdesb1.azure.forem.be","DsiDev01","RGDESB","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/8d6d19d2-d4f8-4542-9421-d59f4257ccc5/resourcegroups/rgdesb/providers/microsoft.compute/virtualmachines/lxdesb1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxdesb2.azure.forem.be","DsiDev01","RGDESB","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/8d6d19d2-d4f8-4542-9421-d59f4257ccc5/resourcegroups/rgdesb/providers/microsoft.compute/virtualmachines/lxdesb2.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxdhrapr1","CspDev01","rgdhr4fpr","West Europe","Running","Linux","Standard_D4ds_v5"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/f7c221a0-aa12-4c93-a43e-e9bb09d9104b/resourcegroups/rgdhr4fpr/providers/microsoft.compute/virtualmachines/lxdhrapr1""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"lxdldap1.azure.forem.be","DsiDev01","rgdldap","West Europe","Running","Linux","Standard_D2s_v5"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/8d6d19d2-d4f8-4542-9421-d59f4257ccc5/resourcegroups/rgdldap/providers/microsoft.compute/virtualmachines/lxdldap1.azure.forem.be""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
